index_person,first_name,second_name,task1_1,task1_2,task1_3,task1_4,task2_1,task2_2,task2_3,task2_4,task3_1,task3_2,task3_3,task3_4,task4_1,task4_2,task4_3,task4_4,quotation,speaker,sum,account,password_hash,question1,question2,icon
1,James,Williams,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"Do every act of your life as if it were your last.","Marcus Aurelius",31,James,$2y$10$vtB7daJMj3dM/UkYkS16AOCjDVSC/a4laC/7vsBDirO8wR13d0ADe,Westmalle,blue,1
2,Betty,Miller,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.","Rabindranath Tagore",32,Betty,$2y$10$7fl8DSdHgzPMYov41oJNIe6PxGUg5kMyXhF4lCvETFiDSgaWe2Rru,Jupiler,red,2
3,Robert,Brown,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,-1,"Everything in life that we really accept undergoes a change. So suffering must become Love. That is the mystery.","Katherine Mansfield",28,Robert,$2y$10$gjk1hfvuhHLG4plFK922gucYz9noel5f5CERQv4MTmz.VD9qktyvC,Jupiler,brown,3
4,Donna,Wilson,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,-1,"Life isn't about finding yourself. Life is about creating yourself","George Bernard Shaw",28,Donna,$2y$10$nCT0KAfV4TllaxT/WhV1UucWOA8inVcfujBUZwytVZbA2E/AbuJ0a,Westmalle,pink,4
5,Charles,Lopez,2,2,2,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,"Attention to health is life greatest hindrance.",Plato,22,Charles,$2y$10$Kv7gagtBUdSFOd3OXpx2E.ye7/SIQWwF8LhGZeCNjYD/KVLU0efxm,Jupiler,purple,5
6,Kimberly,Hill,2,2,2,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,"A man's life is what his thoughts make of it.","Marcus Aurelius",22,Kimberly,$2y$10$jvS0UrS7I2BD8SDhSn5c/ODalgUCZg7g9h/bS/9hcoZSu4w26aYaO,Westmalle,red,6
7,Christopher,Adams,2,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,-1,"Choose your love, Love your choice.","Thomas S. Monson",16,Christopher,$2y$10$FMrj7Y.LRJMzgT1EJ9apVuigwV0Tq6Asz1hEjpljyH57noJM3WGmi,Orval,black,3
8,Ruth,"Gonzalez ",2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,"We live in the world when we love it.","Rabindranath Tagore",13,Ruth,$2y$10$FtCy/12WYsh/hczVB1t2TuD8yYuiUmFqRc5/pi0RmugaBuZJjCJvy,Jupiler,grey,1
9,Brenda,Nelson,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.","George Bernard Shaw",10,Brenda,$2y$10$BfoaFb2jzFqbblFBFNyJF.O6aL9QFd4aDslIoSmPnjTglph8F0Geq,none,none,2
10,Rebecca,Cox,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Our truest life is when we are in our dreams awake.","Henry David Thoreau",-2,Rebecca,$2y$10$3MxvmcY8JoQORkyapHst0OiFayezkF35TmJG5LymZChpnqvwfRolG,Duvel,sunshine,6
11,Christine,Cooper,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Accept responsibility for your life. Know that it is you who will get you where you want to go, no one else.","Les Brown",-5,Christine,$2y$10$8W/8NbbBr1xyfuzqP72Kf.ZuBP7Xoii4xhaq.WFIzOgvVMjy8KytG,Westmalle,yellow,2
12,Frances,Hughes,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Every philosophy is the philosophy of some stage of life.","Friedrich Nietzsche",-15,Frances,$2y$10$f3vNCtHJHOiay3n4XEk06ugx0yuRpUlKVmOIX10f7bgdgv7SrKlpK,Duvel,black,4
24,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,shuai,$2y$10$S4t3V9CckrK8J2OnOHMK3OUdU2RVpfdNVoc7bQULmBiBivh3VJvVq,111,111,0
25,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,shuai1,$2y$10$1trqQGXGJzeLaNI9.c/0heXOA6j24gYCQR7/gvguvYLzoc4N7ieg2,111,111,0
26,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,shuai123,$2y$10$27mJV/4fAHBo/DznKdlUfegRzFYVSIqYLpTajUeYm8klr0.Pob5LO,111,111,0
27,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,shuai111,$2y$10$RcjoFm3Dz6m.l8NB6d6E/OU4lkZyU43kXddIdeOwKLLfT1PSjCP3K,sdf,sdf,0
28,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,shuai4848,$2y$10$.yCEwecxgaxG0/O6itW1UO2zmJIYLgHvGMKT8FD6CfnY9e1KbX94m,sdf,sdf,0
